categoria,faixa_etaria,vacina,doencas_evitadas,observacoes
CRIANÇA,Ao nascer,Vacina BCG (dose única),"formas graves e disseminadas da, tuberculose, e, também, com efeito protetor contra a, hanseníase",
CRIANÇA,Ao nascer,Vacina Hepatite B (1 dose),"hepatite B, e, hepatite D",
CRIANÇA,2 meses,Vacina penta (DTP+Hib+HB) (1ª dose),"difteria, tétano, coqueluche, infecções causadas por, Haemophilus influenzae, B e, hepatite B",
CRIANÇA,2 meses,Vacina poliomielite inativada VIP (1ª dose),poliomielite (paralisia infantil),
CRIANÇA,2 meses,Vacina pneumocócica 10-valente (1ª dose),doenças pneumocócicas invasivas pelos sorotipos contidos na vacina,
CRIANÇA,2 meses,Vacina rotavírus humano (1ª dose),"gastrenterite viral, (diarreia e vômitos)","Atenção aos prazos para esta vacinação, a 1ª dose deve ser aplicada entre 1 mês e 15 dias e 11 meses e 29 dias. A 2ª dose, entre 3 meses e 15 dias e 23 meses e 29 dias. Se a 1ª dose não for feita no período indicado, a criança perderá a oportunidade da 2ª dose."
CRIANÇA,3 meses,Vacina meningocócica C (1ª dose),"doenças meningocócicas (meningite, encefalite, meningoencefalite) pelo meningococo tipo C",
CRIANÇA,4 meses,Vacina penta (DTP+Hib+HB) (2ª dose),"difteria, tétano, coqueluche, infecções causadas por, Haemophilus influenzae, B e, hepatite B",
CRIANÇA,4 meses,Vacina poliomielite inativada VIP (2ª dose),poliomielite (paralisia infantil),
CRIANÇA,4 meses,Vacina pneumocócica 10-valente (2ª dose),doenças pneumocócicas invasivas pelos sorotipos contidos na vacina,
CRIANÇA,4 meses,Vacina rotavírus humano (2ª dose),"gastrenterite viral, (diarreia e vômitos)","Atenção aos prazos para esta vacinação, a 1ª dose deve ser aplicada entre 1 mês e 15 dias e 11 meses e 29 dias. A 2ª dose, entre 3 meses e 15 dias e 23 meses e 29 dias. Se a 1ª dose não for feita no período indicado, a criança perderá a oportunidade da 2ª dose."
CRIANÇA,5 meses,Vacina meningocócica C (2ª dose),"doenças meningocócicas (meningite, encefalite, meningoencefalite) pelo meningococo tipo C",
CRIANÇA,6 meses,Vacina penta (DTP+Hib+HB) (3ª dose),"difteria, tétano, coqueluche, infecções causadas por, Haemophilus influenzae, B e, hepatite B",
CRIANÇA,6 meses,Vacina poliomielite inativada VIP (3ª dose),poliomielite (paralisia infantil),
CRIANÇA,6 meses,Vacina influenza trivalente (1ª dose),gripe (influenza),Crianças de 6 meses a menores de 6 anos devem ser vacinadas todo ano. Quem vai receber a vacina pela primeira vez deve tomar 2 doses com 30 dias de intervalo. As que já tomaram em anos anteriores recebem apenas 1 dose por ano.
CRIANÇA,6 meses,Vacina covid-19 (1ª dose),"formas graves e óbitos causados pelo vírus, SARS-CoV-2","O esquema pode ser de 2 doses (6 e 7 meses, vacina Spikevax) ou 3 doses (6, 7 e 9 meses, vacina Comirnaty). Para crianças imunocomprometidas, 3 doses, com reforço a cada 6 meses até os 4 anos."
CRIANÇA,6 a 8 meses,"Vacina febre amarela (1 dose, em casos excepcionais)","febre amarela, e suas complicações","A vacina contra febre amarela pode ser recomendada para esta idade quando há alto risco de contrair a doença e não é possível adiar a vacinação. Isso vale para quem vive ou vai viajar para áreas com transmissão ativa, sempre após avaliação do serviço de saúde. Para viajantes, a vacina deve ser tomada pelo menos 10 dias antes da viagem"
CRIANÇA,7 meses,Vacina covid-19 (2ª dose),"formas graves e óbitos causados pelo vírus, SARS-CoV-2","O esquema pode ser de 2 doses (6 e 7 meses, vacina Spikevax) ou 3 doses (6, 7 e 9 meses, vacina Comirnaty). Para crianças imunocomprometidas, 3 doses, com reforço a cada 6 meses até os 4 anos."
CRIANÇA,9 meses,Vacina covid-19 (3ª dose),"formas graves e óbitos causados pelo vírus, SARS-CoV-2","O esquema pode ser de 2 doses (6 e 7 meses, vacina Spikevax) ou 3 doses (6, 7 e 9 meses, vacina Comirnaty). Para crianças imunocomprometidas, 3 doses, com reforço a cada 6 meses até os 4 anos."
CRIANÇA,9 meses,Vacina febre amarela (1ª dose),"febre amarela, e suas complicações","Manter a situação vacinal atualizada, principalmente para os residentes e viajantes para área com transmissão ativa da doença. Para os viajantes, a vacina deve ser tomada pelo menos 10 dias antes da viagem."
CRIANÇA,12 meses,Vacina pneumocócica 10-valente (1 dose reforço),doenças pneumocócicas invasivas pelos sorogrupos contidos na vacina,
CRIANÇA,12 meses,Vacina meningocócica ACWY (1 dose),"doenças meningocócicas (meningite, encefalite, meningoencefalite) por meningococos do tipo A, C, W e Y",
CRIANÇA,12 meses,Vacina tríplice viral SCR (1 dose),"sarampo, caxumba, rubéola, e síndrome da rubéola congênita (futuramente, na gravidez)",
CRIANÇA,15 meses,Vacina DTP (1ª dose reforço),"difteria, tétano, e, coqueluche",
CRIANÇA,15 meses,Vacina poliomielite inativada VIP (1ª dose reforço),poliomielite (paralisia infantil),
CRIANÇA,15 meses,Vacina tríplice viral SCR (2ª dose),"sarampo, caxumba, rubéola, síndrome da rubéola congênita (futuramente, na gravidez)","Em casos de indisponibilidade da vacina varicela monovalente, a vacina tetraviral poderá ser utilizada."
CRIANÇA,15 meses,Vacina Varicela (1ª dose),varicela (catapora),"Em casos de indisponibilidade da vacina varicela monovalente, a vacina tetraviral poderá ser utilizada."
CRIANÇA,15 meses,Vacina hepatite A (1ª dose),hepatite A,
CRIANÇA,4 anos,Vacina DTP (2º reforço),"difteria, tétano, coqueluche","Recomenda-se, em sequência, manter 1 dose de reforço com dT a cada 10 anos após a última dose DTP, antecipando para 5 anos em caso de exposição ao risco de tétano ou difteria."
CRIANÇA,4 anos,Vacina febre amarela (1 dose reforço),febre amarela,"Manter a situação vacinal atualizada, principalmente para os residentes e viajantes para área com transmissão ativa da doença. Para os viajantes, a vacina deve ser tomada pelo menos 10 dias antes da viagem."
CRIANÇA,4 anos,Vacina varicela (1 dose),varicela (catapora),
CRIANÇA,5 anos,"Vacina pneumocócica 23-valente (1 dose, somente povos indígenas)",doenças pneumocócicas invasivas pelos sorogrupos contidos na vacina,Sem histórico vacinal com pneumo conjugada. Uma segunda dose deve ser administrada com intervalo de 5 anos após a 1ª dose.
CRIANÇA,A partir dos 7 anos,"Vacina dT (3 doses, conforme histórico vacinal)","difteria, e, tétano",A vacina dT (dupla adulto) é indicada para completar esquema em atraso contra difteria e tétano e para doses de reforços.
CRIANÇA,9 a 14 anos,Vacina HPV4 (1 dose),"Infecções causadas pelo, papilomavírus humano",
ADOLESCENTE E JOVEM,9 a 14 anos,Vacina HPV4 (1 dose),"infecções causadas pelo, papilomavírus humano",
ADOLESCENTE E JOVEM,10 a 14 anos,"Vacina Dengue Tetravalente (2 doses, conforme histórico vacinal)",dengue,É recomendado utilizar um só laboratório para o esquema vacinal.
ADOLESCENTE E JOVEM,11 a 14 anos,Vacina meningocócica ACWY (1 dose),"doenças meningocócicas (meningite, encefalite, meningoencefalite), causadas pela, N. menigitidis, do tipo A, C, W-135 e Y",
ADOLESCENTE E JOVEM,10 a 24 anos,"Vacina hepatite B (3 doses, conforme histórico vacinal)","hepatite B, e, hepatite D",
ADOLESCENTE E JOVEM,10 a 24 anos,"Vacina dT (3 doses, conforme histórico vacinal)","difteria, e, tétano","Após o esquema completo de 3 doses, é recomendado 1 dose de reforço a cada 10 anos, antecipado para 5 anos em caso de risco de difteria ou tétano. Para profissionais de saúde, parteiras tradicionais e estagiários que atuam com recém-nascidos, recomenda-se a vacina dTpa."
ADOLESCENTE E JOVEM,10 a 24 anos,"Vacina febre amarela (1 dose, conforme histórico vacinal)",febre amarela,"Manter a vacinação em dia, especialmente para quem mora ou vai viajar para áreas com transmissão ativa. Viajantes devem se vacinar pelo menos 10 dias antes da viagem para garantir proteção."
ADOLESCENTE E JOVEM,10 a 24 anos,"Vacina tríplice viral SCR (2 doses, conforme histórico vacinal)","sarampo, caxumba, rubéola, e síndrome da rubéola congênita (futuramente, na gravidez)",Toda a população nesta idade deve estar vacinada. Atenção aos trabalhadores de saúde.
ADOLESCENTE E JOVEM,10 a 24 anos,"Vacina pneumocócica 23-valente (2 doses, sem histórico vacinal com pneumocócica conjugada)",doenças pneumocócicas invasivas (pelos sorogrupos contidos na vacina),Somente povos indígenas. Uma segunda dose deve ser administrada com intervalo de 5 anos após a 1ª dose.
ADOLESCENTE E JOVEM,10 a 24 anos,"Vacina varicela (2 doses, conforme histórico vacinal)",varicela (catapora),"Somente povos indígenas e trabalhadores de saúde, sem histórico da doença"
ADULTO,25 a 59 anos,"Vacina hepatite B (3 doses, conforme histórico vacinal)","hepatite B, e, hepatite D",
ADULTO,25 a 59 anos,"Vacina dT (3 doses, conforme histórico vacinal)","difteria, e, tétano","Após o esquema completo (3 doses), é recomendado 1 reforço a cada 10 anos, antecipado para 5 anos em caso de risco de difteria ou tétano. Para profissionais de saúde, parteiras tradicionais e estagiários que atuam com recém-nascidos, recomenda-se a vacina dTpa."
ADULTO,25 a 59 anos,"Vacina febre amarela (1 dose, conforme histórico vacinal)",febre amarela,"Manter a vacinação em dia, especialmente para quem mora ou vai viajar para áreas com transmissão ativa. Viajantes devem se vacinar pelo menos 10 dias antes da viagem para garantir proteção."
ADULTO,25 a 59 anos,Vacina tríplice viral SCR (conforme histórico vacinal: até 29 anos - 2 doses; entre 30 e 59 anos - 1 dose; trabalhador de saúde - 2 doses),"sarampo, caxumba, rubéola, e síndrome da rubéola congênita (futuramente, na gravidez)",Toda a população nesta idade deve estar vacinada. Os trabalhadores de saúde precisam atualizar a situação vacinal.
ADULTO,25 a 59 anos,"Vacina pneumocócica 23-valente (2 doses somente indígena, sem histórico vacinal com pneumo conjugada)",doenças pneumocócicas invasivas pelos sorogrupos contidos na vacina,A segunda dose deve ser administrada com intervalo de 5 anos após a 1ª dose.
ADULTO,25 a 59 anos,"Vacina varicela (2 doses somente indígena e trabalhador de saúde, conforme histórico vacinal e sem histórico da doença)",varicela (catapora),
IDOSO,A partir dos 60 anos,"Vacina hepatite B (3 doses, conforme histórico vacinal)","hepatite B, e, hepatite D",
IDOSO,A partir dos 60 anos,"Vacina dT (3 doses, conforme histórico vacinal)","difteria, e, tétano","Após o esquema completo (3 doses) com vacina contra difteria e tétano, é recomendado 1 dose de reforço a cada 10 anos com dT, antecipado para 5 anos em caso de risco de difteria ou tétano. Para profissionais de saúde, parteiras tradicionais e estagiários que atuam com recém-nascidos, recomenda-se a vacina dTpa."
IDOSO,A partir dos 60 anos,"Vacina febre amarela (1 dose, conforme histórico vacinal)",febre amarela,"A vacina pode ser recomendada para esta idade apenas para não vacinados, quando há alto risco de contrair a doença e não é possível adiar a vacinação. Mas é necessário avaliação sobre a situação de saúde e as contraindicações. Isso vale para quem vive ou vai viajar para áreas com transmissão ativa. Para viajantes, a vacina deve ser tomada pelo menos 10 dias antes da viagem."
